job,experience,knowledge,salary,location,day of post,rating,number of reviews
"Big Data Engineer (Spark, Scala, Java/Python) 
",6-9 Yrs,"Java,Scala,Big Data,Spark,Python,Data",Not disclosed,"Hyderabad, Chennai, Bengaluru",15 Days Ago,no rating, - 
Data Architect - Python,9-14 Yrs,"Python,Azure,NoSQL,Data Architect,Cloud,MDM,Dimensional Modeling,SQL Server",Not disclosed,Bhubaneswar,13 Days Ago,4.4,32
Data Analyst Bangalore Hybrid Need Coding skills in 'R' or Python/SQL,2-7 Yrs,"Data Manipulation,Data Analysis,R Program,Python,Mssql Dba,Data Visualization,Advance Sql,Data Warehousing",5-14 Lacs PA,Hybrid - Bengaluru,4 Days Ago,no rating, - 
Senior Engineer- DevOps Python,5-11 Yrs,"Engineering services,Linux,Coding,Analytical,Agile,Perl,Windows,SDLC",Not disclosed,"Indore, Vijaynagar, Pune, Ahmedabad, Bengaluru",5 Days Ago,2.5,8
Sr Test Automation Engineer - Python + Pytest,6-8 Yrs,"Computer science,Engineering services,Communication protocols,Automation testing,Linux,Debugging,Selenium,Troubleshooting",Not disclosed,Bengaluru,5 Days Ago,2.5,8
Automation Test Engineer (Python),2-3 Yrs,"Computer science,Software testing,Automation testing,Test scripts,Debugging,Javascript,Data structures,Selenium",Not disclosed,Hyderabad,Few Hours Ago,4.1,65
"Full Stack Developer - Python, Node with React JS For Bangalore & Pune",2-7 Yrs,"Node.js,TypeScript,JavaScript,React.js,Python,PostgreSQL,Redux,Express.js",4-7 Lacs PA,"Pune, Bengaluru",5 Days Ago,no rating, - 
Python Full Stack Developer - Algo Trading,2-5 Yrs,"PYTHON DEVELOPMENT,MySQL,Algorithmic Trading,Stock Market,API,Python,Stock,Full Stack",4-5.5 Lacs PA,Delhi / NCR,15 Days Ago,no rating, - 
Python Developer Intern,no mention,not mentioned,"12,000/month",Ahmedabad,Starts within 1 month,3.5,43
Python Developer,0-3 Yrs,"rest,algorithms,python,version control,rest api design,python development,backend development,relational databases",Not disclosed,Bengaluru,30+ Days Ago,3.3,316
Internship - Python Developer,no mention,not mentioned,Unpaid,Bhubaneswar,Starts in 1-3 months,no rating, - 
Senior Data Scientist & Team Manager - Statistical Modeling - R/Python,6-11 Yrs,"Data Science,R,Data Scientist,Data Management,Statistical Modeling,Algorithm,Machine Learning,Python",Not disclosed,Amritsar,11 Days Ago,no rating, - 
Data Engineer- Databricks + Azure  Data Factory + Python,5-9 Yrs,"Databricks,Azure  Data Factory,Data migration,Data processing,Data Warehousing,Python,Process,Migration",Not disclosed,"Kolkata, Bhubaneswar, Visakhapatnam",5 Days Ago,no rating, - 
Senior Data Scientist & Team Manager - Statistical Modeling - R/Python,6-11 Yrs,"Data Science,R,Data Scientist,Data Management,Statistical Modeling,Algorithm,Machine Learning,Python",Not disclosed,"Chennai, Bengaluru",15 Days Ago,no rating, - 
TTT - Generative AI application developer - Python - Senior,5-9 Yrs,"Solution architecture,Assurance,Consulting,TAS,Workflow,Application development,Taxation,Cosmos",Not disclosed,Bengaluru,30+ Days Ago,3.4,11227
"Python developer (ADF, Data bricks)",5-8 Yrs,"ADF,Python Developer,Data Bricks,Python Development,Data,Bricks,Python,Development",15-25 Lacs PA,"Hybrid - Hyderabad, Mysuru, Pune, Chennai, Bengaluru",13 Days Ago,no rating, - 
"Senior LLM Engineer GenAI / ML (Python, Langchain)",7-12 Yrs,"GEN AI,LLM,ML,Python,Senior,Gen,Artificial Intelligence",Not disclosed,Remote,5 Days Ago,no rating, - 
Senior Python Engineer,3-8 Yrs,"Python,team management,product development,root cause analysis,Senior,Team,Management,Analysis",Not disclosed,Hyderabad,14 Days Ago,3.7,54732
Data Scientist - ML/Python/Modeling - Bangalore/Mumbai,7-12 Yrs,"Data Science,Statistical Modeling,data scientist,Machine Learning,Python,Predictive Modeling,Predictive Analytics,Ml",11-20 Lacs PA,"Bengaluru, Mumbai (All Areas)",14 Days Ago,no rating, - 
Python /Data scientist,5-10 Yrs,"Python Development,Python,SQL,Opencv,Development,Data",6-14 Lacs PA,Chennai,6 Days Ago,4.5,7
Machine Learning Engineer - AI/ ML || Python + SQL ||AIML (NLP),3-8 Yrs,"Artificial intelligence,Machine Learning,NLP,PyTorch,Pandas,Database Management,CoreML,Scikit-learn",Not disclosed,"Noida, Gurugram, Delhi / NCR",1 Day Ago,no rating, - 
Software Engineer (Python),2-4 Yrs,"Development,Open Api,MongoDB,Python Development,Pycharm,Design,Rest,Docker",Not disclosed,Hybrid - Mumbai (All Areas),7 Days Ago,3.3,163
Associate Software Engineer (AI/Python),3-5 Yrs,"Automation,NoSQL,orchestration,Postgresql,Django,Web development,Data structures,MongoDB",Not disclosed,Mumbai,5 Days Ago,3.8,34
Software Engineer (Python) - Fixed Term Contract (6months),3-6 Yrs,"Automation,Software design,Testing tools,Coding,Postgresql,Django,MySQL,Agile methodology",Not disclosed,Gurugram,6 Days Ago,4.0,3
Software Engineer (AI/Python),5-8 Yrs,"Administration,Excel,Time management,Project management,Microsoft applications,Management,Monitoring,Python",Not disclosed,Mumbai,5 Days Ago,3.8,34
Python Automation Engineer,5-9 Yrs,"Automation Testing,Layer 2,Python,L3,Software testing,Automation",Not disclosed,Bangalore Rural,13 Days Ago,3.5,36356
Devops Engineer :  Python,8-13 Yrs,"Automation Python,Cloud,Devops,Python,Azure,AWS,Automation,Microsoft Azure",Not disclosed,Bangalore/Bengaluru,13 Days Ago,3.7,5363
Python Machine learning Engineer,3-5 Yrs,"Machine learning,Python,Data Science,R,data analysis,Rest API,Object oriented programming,SQL",Not disclosed,Bengaluru,12 Days Ago,3.6,40809
Python Engineer,4-8 Yrs,"Django,Python,SQL",Not disclosed,"Pune, Gurugram, Greater Noida",6 Days Ago,4.0,1565
Engineer - Python/Snowflake,2-7 Yrs,"snowflake,python,root cause analysis,software development life cycle,html,project management,business analysis,presales",Not disclosed,Bengaluru,13 Days Ago,3.7,54732
Python Developer,5-10 Yrs,"Tensorflow,LLM,Pytorch,Python,Artificial Intelligence,Machine Learning,Scikit-Learn,Numpy",Not disclosed,Hybrid - Noida,8 Days Ago,4.7,15
Python Developer,1-6 Yrs,"Python,Django,Postgresql,Python Development,Development",Not disclosed,Noida,10 Days Ago,no rating, - 
Python Developer ( AI ),2-7 Yrs,"Version control,GIT,Coding,GCP,Analytical,Natural language processing,Unit testing,data visualization",Not disclosed,Ahmedabad,12 Days Ago,no rating, - 
Junior Python Developer,1-3 Yrs,"GIT,Version control,Architecture,Django,Postgresql,MySQL,Programming,Python",Not disclosed,Mohali,12 Days Ago,4.6,8
Python Developer,1-4 Yrs,"Pandas,Python,Data Wrangling,Web Development,Numpy,Python Development,Web technologies,Data",Not disclosed,"Hybrid - Pune, Gurugram",15 Days Ago,3.6,708
Python Software Developer,4-9 Yrs,"AWS,Python,SQL,Linux,Azure Cloud,Google Cloud Services,Development,Cloud",8-18 Lacs PA,"Hybrid - Hyderabad, Pune, Bengaluru",29 Days Ago,3.6,40809
Python Developer,1-6 Yrs,"Django,aws,Python,Flask,SQL,Development,Python Development",12-22 Lacs PA,"Hyderabad, Pune, Chennai",10 Days Ago,2.5,4
Python Developer Lead,3-5 Yrs,"Docker,Ai Techniques,Team Leading Skills,Django,Leadership,Pandas,Flask Web Framework,Python Development",3-8 Lacs PA,Mumbai (All Areas)(Andheri East +1),11 Days Ago,3.1,15
Python Developer | GeakMinds | Chennai,3-4 Yrs,"Sql Server Database,Python coding,Postgresql,APIs,Python,Data Troubleshoot,MySQL,Pandas",Not disclosed,Chennai,11 Days Ago,4.6,45
Python Developer,2-4 Yrs,"Front end,GIT,Django,MySQL,Debugging,Javascript,MongoDB,Apache",Not disclosed,Chennai,12 Days Ago,4.5,32
Python Backend Developer - Microservices Architecture,4-6 Yrs,"Python,Git,Microservices Architecture,Fast API,ORM,SQL,Architecture,Microservices",Not disclosed,Dehradun,13 Days Ago,4.4,32
Python Backend Developer - Microservices Architecture,4-6 Yrs,"Python,Git,Microservices Architecture,Fast API,ORM,SQL,API,Backend",Not disclosed,Jodhpur,13 Days Ago,4.4,32
Python Developer - Flask / Machine Learning,1-3 Yrs,"Python,Git,Design Patterns,Machine Learning,Flask,Design,Development,Python Development",Not disclosed,Bareilly,13 Days Ago,4.4,32
Python Developer,1-2 Yrs,"Python,GSuite,Object Relational Mapper,PostgreSQL,GitHub,ORM,JIRA,MySQL",Not disclosed,Udaipur,13 Days Ago,4.4,32
Python Developer - Flask/Machine Learning,3-5 Yrs,"Python,Design Patterns,Machine Learning,Flask,Design,Development,Python Development,Machine",Not disclosed,Guwahati,13 Days Ago,4.4,32
Python Developer - Django/MySQL,1-2 Yrs,"Python,RESTful API,Database Schema,Django,PostgreSQL,MySQL,API,MongoDB",Not disclosed,Vijayawada,13 Days Ago,4.4,32
Python Developer - Django/Flask/Javascript,7-12 Yrs,"Python,TFS,SVN,ORM,Tesseract,Google OCR,CSS3,Git",Not disclosed,Bareilly,13 Days Ago,4.4,32
Python Backend Developer - Microservices Architecture,4-6 Yrs,"Python,Git,Microservices Architecture,Fast API,ORM,SQL,API,Backend",Not disclosed,Rajkot,13 Days Ago,4.4,32
Python Backend Developer - Microservices Architecture,4-6 Yrs,"Python,Git,Microservices Architecture,Fast API,ORM,SQL,Development,Backend",Not disclosed,Meerut,13 Days Ago,4.4,32
Python Developer - Flask / Machine Learning,1-3 Yrs,"Python,Git,Design Patterns,Machine Learning,Flask,Machine,Design,Development",Not disclosed,Vadodara,13 Days Ago,4.4,32
Python Developer,1-2 Yrs,"Python,GSuite,Object Relational Mapper,PostgreSQL,GitHub,ORM,JIRA,MySQL",Not disclosed,Pune,13 Days Ago,4.4,32
Python Developer - Flask/Machine Learning,3-5 Yrs,"Python,Design Patterns,Machine Learning,Flask,Machine,Design,Development,Python Development",Not disclosed,Jabalpur,13 Days Ago,4.4,32
Python Developer - Django/MySQL,1-2 Yrs,"Python,RESTful API,Database Schema,Django,PostgreSQL,MySQL,API,MongoDB",Not disclosed,Varanasi,13 Days Ago,4.4,32
Python Developer - Django/Flask/Javascript,7-12 Yrs,"Python,TFS,SVN,ORM,Tesseract,Google OCR,CSS3,Git",Not disclosed,Amritsar,13 Days Ago,4.4,32
Python Developer - Microservices Architecture,6-8 Yrs,"Python,Unix,REST API,GIT,Shell Scripting,Confluence,Microservices Architecture,JIRA",Not disclosed,Vadodara,13 Days Ago,4.4,32
Python Developer,2-4 Yrs,"Python,C#,Azure,Django,AI,.net,AWS,ML",Not disclosed,Mohali,13 Days Ago,3.6,33
Python Developer,1-3 Yrs,"Front end,Version control,GIT,Postgresql,Django,MySQL,Javascript,Agile",Not disclosed,Udaipur,13 Days Ago,no rating, - 
Python Developer,2-3 Yrs,"Software design,Backend,Front end,Coding,Postgresql,MySQL,Agile,Data structures",Not disclosed,Pune,13 Days Ago,4.0,8
Python Developer,3-5 Yrs,"Django,AWS,Restful Web Api Development,Python,ERP System,Lambdas,Docker,Flask",Not disclosed,Pune,13 Days Ago,3.6,23
Fullstack Python Developer- Male Candidates Only,2-7 Yrs,"Django Framework,React.Js,CSS,fastAPI,Javascript,HTML,Framework,Python",Not disclosed,Pune(Kalyani Nagar),13 Days Ago,3.7,300
Python Developer,2-4 Yrs,"AI,.Net,Python,C#,Azure,Python development,Python Developer,ASP.NET",Not disclosed,Mohali,15 Days Ago,3.6,33
Python Developer,6-8 Yrs,"Python,OOPS principles,Django,Object Oriented Programming,Object,OOPS,Program,Programming",Not disclosed,Mumbai,15 Days Ago,no rating, - 
Python Developer,2-5 Yrs,"Computer science,SIDE,Backend,Front end,Web services,Testing tools,Django,Javascript",Not disclosed,Puttur,15 Days Ago,4.1,4
Python Developer,1-3 Yrs,"Python,lancedb,mysql,Development,Python Development",Not disclosed,Hybrid - Chennai,14 Days Ago,2.6,12
"Python Software Developer-AB- Bengaluru, Pune-Infosys",3-8 Yrs,"Python,Django,Flask,Software",Not disclosed,"Chandigarh, Pune, Bengaluru",18 Days Ago,3.6,40809
Python Software Developer,2-4 Yrs,"Python Development,Python,Generative Ai,Python Framework,Django,Machine Learning,Artificial Intelligence,Software development",Not disclosed,"Hybrid - Hyderabad, Pune, Bengaluru",20 Days Ago,3.6,40809
Python Developer,3-5 Yrs,"Django,Agile,Python Development,Python,Python Framework,Framework,Development",4-8 Lacs PA,"Hybrid - Visakhapatnam, Hyderabad",11 Days Ago,4.7,11
Backend Python Developer,3-5 Yrs,"Django,Python Development,Flask,SQL,Azure Cloud,Gen  AI,Devops,AWS",10-15 Lacs PA,Hyderabad,1 Day Ago,4.1,13
Python Django Developer Product Company,3-5 Yrs,"Database knowledge,Django expertise,Strong Python skills,Clean architecture,Debugging & troubleshooting,Bug Fixing,Version control,GIT",Not disclosed,"Gurgaon/Gurugram, Delhi / NCR",10 Days Ago,2.4,29
Lead - Python Developer,7-12 Yrs,"Django,Python,Client facing,Strategic Thinking,Team handling,Problem Solving,DBMS,Rest Api Services",Not disclosed,Hyderabad,1 Day Ago,2.4,18
Hiring For Experienced Python Developer- @Global !!!,2-4 Yrs,"Python Developer,Core Python,Automation,Data Manipulation,Web Application,Machine Learning,Data,Development",Not disclosed,Chennai(Velachery),11 Days Ago,3.5,478
Python Developer,3-6 Yrs,"Python,Django,Fast API,Python Development,Flask,microservices,API,Development",Not disclosed,Noida(Noida Extension),11 Days Ago,3.6,3
Jr. Python Developer,2-4 Yrs,"Django,AWS,Python,MySQL,Development,Python Development,Jrss",Not disclosed,Indore,11 Days Ago,3.5,267
Python Developer,2-3 Yrs,"Django,AWS,Python,MySQL,Development,Python Development",Not disclosed,Indore,11 Days Ago,3.5,267
Python Developer,3-6 Yrs,"Python,Pyramid,Python Framework,Django,Pandas,Numpy,Flask,Python Development",4-7 Lacs PA,Gurugram,11 Days Ago,3.5,18
Python Developer,2-4 Yrs,"Python Development,Flask  Django,Git,Github,Django,Django Framework,or FastAPI,MySQLPostgreSQL",3-3.25 Lacs PA,"Noida, Delhi / NCR",11 Days Ago,3.8,5
AI/ML and Python Developer,2-4 Yrs,"Python,rest,rpa,natural language processing,bot,python development,microsoft azure,aiml",Not disclosed,Ahmedabad,12 Days Ago,3.3,744
Back End - Python Developer,2-4 Yrs,"algorithms,css,web services,unit testing,scalability,sql,microservices,docker",Not disclosed,Mumbai,12 Days Ago,2.2,22
Python Developer,4-9 Yrs,"Coding,Project management,Postgresql,MySQL,Debugging,Agile,Scrum,SQL",Not disclosed,Pune,12 Days Ago,3.8,13
Python Developer,3-6 Yrs,"python,OOPS,API,Django/ Flask,Development,Python Development,Django,Flask",Not disclosed,Hybrid - Hyderabad,12 Days Ago,3.9,124
Python Developer,2-4 Yrs,"Selenium,Python,Scrapy,Playwright,Google Cloud,Beautiful Soup,Puppeteer,Docker",3-7 Lacs PA,Jaipur,12 Days Ago,4.2,461
Python Developer - Flask/Machine Learning,1-3 Yrs,"Python,Design Patterns,ML projects,Machine Learning,Flask frameworks,Flask,Development,Project",Not disclosed,Udaipur,13 Days Ago,4.4,32
Python Developer - Django / Numpy,3-7 Yrs,"Django,RESTful API,Pandas,Python Developer,Numpy,backend scripts,Python,API",Not disclosed,Thane,13 Days Ago,4.4,32
ArcGIS Web Developer - Python/SQL Server,13-15 Yrs,"ArcGIS,GIS,Docker,ESRI,Microservices Architecture,CI/CD,SQL Server,SQL",Not disclosed,Thane,13 Days Ago,4.4,32
Python Developer - Django/Numpy,3-7 Yrs,"Python,API development,Django,Pandas,NumPy,RESTful,API,Python Development",Not disclosed,Jamshedpur,13 Days Ago,4.4,32
Python Developer - Flask / Machine Learning,3-5 Yrs,"Python,Git,Design Patterns,Machine Learning,Flask,Machine,Development,Design",Not disclosed,Guwahati,13 Days Ago,4.4,32
Python Developer - Flask/Machine Learning,1-3 Yrs,"Python,Design Patterns,ML projects,Machine Learning,Flask frameworks,Flask,Framework,Machine",Not disclosed,Ghaziabad,13 Days Ago,4.4,32
Python Developer - Django / Numpy,3-7 Yrs,"Django,RESTful API,Pandas,Python Developer,Numpy,backend scripts,Python,Development",Not disclosed,Kanpur,13 Days Ago,4.4,32
ArcGIS Web Developer - Python/SQL Server,13-15 Yrs,"ArcGIS,GIS,Docker,ESRI,Microservices Architecture,CI/CD,SQL Server,SQL",Not disclosed,Delhi / NCR,13 Days Ago,4.4,32
Python Backend Developer - Microservices Architecture,4-6 Yrs,"Python,Git,Microservices Architecture,ORM,SQL,Development,Backend,Architecture",Not disclosed,Amritsar,13 Days Ago,4.4,32
Python Developer - Django/Numpy,3-7 Yrs,"Python,API development,Django,Pandas,NumPy,RESTful,Development,Python Development",Not disclosed,Bhopal,13 Days Ago,4.4,32
Python/Flask Developer - OOPS/Webservices,5-8 Yrs,"Python,CSS,Design Patterns,OOPS,JavaScript,HTML,Webservices,Object-Oriented Programming",Not disclosed,Jaipur,13 Days Ago,4.4,32
Python Developer - Flask / Machine Learning,3-5 Yrs,"Python,Git,Design Patterns,Machine Learning,Flask,Development,Design,Python Development",Not disclosed,Ahmedabad,13 Days Ago,4.4,32
Python Developer,2-4 Yrs,"Automation,Front end,RDBMS,Django,MySQL,Debugging,Javascript,Distribution system",Not disclosed,Pune,13 Days Ago,3.4,39
Python Developer,5-6 Yrs,"Django,Pandas,Python Development,Python,Flask,SQL,Development",Not disclosed,Hybrid - Mumbai (All Areas)(Kurla),13 Days Ago,2.7,49
Python Developer,8-13 Yrs,"Python Development,Docker,Django Framework,React.Js,Django,Framework,Python,Development",Not disclosed,Pune,13 Days Ago,4.0,11
Python Developer,4-9 Yrs,"Version control,GIT,Web technologies,Coding,Powershell,Javascript,HTML,Troubleshooting",Not disclosed,Kochi,14 Days Ago,3.7,14
"Fullstack Developer (Python, React, Django)",4-9 Yrs,"Django,React,Python,Development,React.js,Fullstack Development,Full Stack",Not disclosed,Remote,5 Days Ago,3.9,91
Backend Developer - Python / Django / REST API,2-5 Yrs,"Python,REST API,Git,Elasticsearch,Django,Microservices Architecture,PostgreSQL,Flask",Not disclosed,Visakhapatnam,13 Days Ago,4.4,32
Backend Developer - Python / Django / REST API,2-5 Yrs,"Python,REST API,Git,Elasticsearch,Django,Microservices Architecture,PostgreSQL,Flask",Not disclosed,Lucknow,13 Days Ago,4.4,32
JavaScript Developer with GIS Knowledge & Backend Skills (Python/Node.,7-9 Yrs,"Gis,Java,Node.Js,Python,React.Js,Node,Javascript,Development",Not disclosed,Hyderabad,13 Days Ago,3.5,175
"Web Developer - Python, C# (5-7 years of exp)",4-7 Yrs,"Python,C#,dbms,sql,Web technologies,Web development,Exp,Development",5-8 Lacs PA,"Belgaum, Mumbai (All Areas)",13 Days Ago,no rating, - 
Python&spark developer,4-5 Yrs,"spark,Python,Development",Not disclosed,Hyderabad,14 Days Ago,4.1,6
LLM/Python AI developer,2-5 Yrs,"orchestration,Machine learning,AWS,Python,Artificial Intelligence,Machine,Development",Not disclosed,Hyderabad,14 Days Ago,3.6,42
Python Developer,8-13 Yrs,"Python,NoSQL,Confluence,Github,CI/CD,MongoDB,AWS,React",Not disclosed,Hyderabad,11 Days Ago,3.2,62
Python Developer,1-5 Yrs,"Hibernate,GIT,RDBMS,Analytical,Django,Database,MongoDB,AWS",Not disclosed,Hyderabad,14 Days Ago,3.6,42
Python Developer (AI/ML Focus),1-5 Yrs,"Focus,Python,Development,Ml,Python Development,Artificial Intelligence",Not disclosed,Noida,15 Days Ago,4.1,28
Python Developer,1-5 Yrs,"Cloud computing,Data analysis,Shell scripting,Javascript,Performance testing,HTML,SDK,Unit testing",Not disclosed,Hyderabad,15 Days Ago,3.6,42
SOFTWARE DEVELOPER ( python ),2-4 Yrs,"Backend,Usage,Web technologies,User interface designing,Intellectual property,Deployment,MongoDB,Cosmos",Not disclosed,Bengaluru,30+ Days Ago,no rating, - 
Python Fullstack Developer (AI/GenAI) (WFH),1-3 Yrs,"Python,SQL,GCP,Django,Artificial Intelligence,API,React.Js,AWS",Not disclosed,Remote,12 Days Ago,4.3,8
Python Djando Developer,3-5 Yrs,"redis,elastic search,postgresql,python,flask,continuous integration,css,ci/cd",Not disclosed,Surat,15 Days Ago,3.2,39
Data Engineer (Python),6-8 Yrs,"Python,Data Engineering,Data",Not disclosed,Hyderabad,12 Days Ago,3.6,4
Data Science Engineer - Machine / Deep Learning Models- R/Python/Scala,4-8 Yrs,"Data Science,R,Artificial Intelligence,Scala,Time Series Forecasting,Big Data,Machine Learning,Deep Learning",Not disclosed,Hubli,13 Days Ago,4.4,32
